lambda,max_users,iteration,n,l,q,q_bits,k,m,m_E,beta,kappa,m_rows,m_cols,z_size,setup_time,user_keygen_time,sign_time,verify_time,trace_time,judge_time,param_size,gm_key_size,tm_key_size,user_key_size,sig_size,proof_size
32,128,1,32,7,3779,12,12,768,936,20,15,302,32171,32171,.778993000,.190764000,.353415000,.270407000,.254387000,.197277000,473817,9076,890354,20293,10763186,1279
32,256,1,32,8,3191,12,12,768,960,20,15,336,36109,36109,.140721000,.295772000,.488377000,.353955000,.294517000,.242364000,472557,9071,970367,20282,12064350,1292
32,512,1,32,9,3761,12,12,768,984,20,15,370,40047,40047,.206914000,.495296000,.629671000,.403217000,.392992000,.323696000,473899,9077,1057600,20287,13308098,1304
32,1024,1,32,10,3637,12,12,768,1008,20,15,404,43985,43985,.363780000,.983005000,.778004000,.768283000,.701781000,.488041000,473516,9076,1144711,20291,14666612,1319
32,2048,1,32,11,4007,12,12,768,1032,20,15,438,47923,47923,.733946000,1.919317000,1.149154000,1.164209000,.927838000,.887192000,474366,9077,1237605,20290,16041530,1327
64,128,1,64,7,12959,14,14,1792,1988,40,24,590,74267,74267,.217938000,.467127000,1.314454000,.931768000,.660077000,.733008000,2256977,20808,2973446,46809,39759990,2650
64,256,1,64,8,13729,14,14,1792,2016,40,24,656,83341,83341,.310920000,.758799000,1.573886000,1.423064000,.848092000,.725848000,2262077,20819,3152581,46814,44902954,2667
64,512,1,64,9,15959,14,14,1792,2044,40,24,722,92415,92415,.501141000,1.272055000,1.952965000,1.608924000,1.060650000,1.005733000,2274881,20815,3345834,46828,49759166,2672
64,1024,1,64,10,13421,14,14,1792,2072,40,24,788,101489,101489,.838661000,2.310845000,2.585478000,2.531713000,1.587720000,1.468520000,2259969,20809,3501574,46820,54156472,2694
64,2048,1,64,11,13151,14,14,1792,2100,40,24,854,110563,110563,1.492509000,4.610310000,3.671069000,2.956901000,2.705775000,2.320195000,2257973,20802,3679731,46817,58783260,2700
128,128,1,128,7,26437,15,15,3840,4050,55,28,1166,158291,158291,.621105000,1.270057000,3.860409000,3.426063000,1.800393000,1.569907000,9876811,44303,10492807,99866,99629420,5380
128,256,1,128,8,27751,15,15,3840,4080,55,28,1296,177613,177613,.867933000,1.851688000,4.663303000,3.821038000,2.216813000,1.845951000,9886863,44307,10847548,99874,111212076,5395
128,512,1,128,9,30319,15,15,3840,4110,55,28,1426,196935,196935,1.038901000,2.965523000,5.615521000,5.510240000,2.722711000,2.386665000,9903830,44305,11213384,99868,124351272,5407
128,1024,1,128,10,29567,15,15,3840,4140,55,28,1556,216257,216257,2.109713000,5.465747000,7.177442000,6.384965000,3.878298000,3.420341000,9898623,44301,11558353,99880,135196550,5426
128,2048,1,128,11,31799,15,15,3840,4170,55,28,1686,235579,235579,3.997692000,10.170415000,9.954711000,7.953211000,5.332759000,5.009747000,9912254,44316,11931313,99885,147188846,5434
256,128,1,256,7,112759,17,17,8704,8942,96,40,2318,357827,357827,2.000320000,4.175376000,16.441587000,18.131523000,5.956899000,5.412260000,45728505,99771,43253486,225615,323787732,11878
256,256,1,256,8,107467,17,17,8704,8976,96,40,2576,401485,401485,2.609575000,6.051320000,20.892687000,30.128147000,7.300775000,6.194438000,45620610,99775,43899145,225615,362620880,11882
256,512,1,256,9,128341,17,17,8704,9010,96,40,2834,445143,445143,3.842183000,8.176629000,121.999595000,63.385995000,8.463245000,7.017064000,45993938,99812,45084274,225640,399318664,11901
256,1024,1,256,10,127051,17,17,8704,9044,96,40,3092,488801,488801,5.826305000,15.108106000,139.366172000,68.291238000,13.200006000,9.165526000,45974647,99811,45834589,225644,436759090,11911
256,2048,1,256,11,105019,17,17,8704,9078,96,40,3350,532459,532459,11.384040000,24.005245000,186.085070000,113.983474000,17.634253000,13.121232000,45565410,99768,46154016,225609,480513082,11925
512,128,1,512,7,463861,19,19,19456,19722,154,54,4622,798771,798771,8.658880000,16.703673000,440.799587000,322.842256000,26.671424000,19.235498000,211825647,222272,189077750,503516,977742086,26211
512,256,1,512,8,422923,19,19,19456,19760,154,54,5136,896205,896205,10.166441000,19.023195000,536.242247000,399.454900000,24.486060000,22.910571000,211593124,222258,190558175,503500,1095589430,26224
512,512,1,512,9,407783,19,19,19456,19798,154,54,5650,993639,993639,13.813291000,25.316255000,644.797686000,428.194476000,27.871397000,24.574369000,211496692,222258,192174431,503485,1208663494,26239
512,1024,1,512,10,431759,19,19,19456,19836,154,54,6164,1091073,1091073,18.775237000,36.660730000,813.026695000,548.027147000,32.553546000,33.101302000,211647876,222280,194064547,503499,1331699064,26251
512,2048,1,512,11,431147,19,19,19456,19874,154,54,6678,1188507,1188507,33.649274000,73.387912000,947.858586000,843.606700000,42.115324000,38.008968000,211644228,222278,195797978,503495,1465318916,26262
